大会,予選,問題番号,問題,正解,補足
1,東北,2,世界初の熱気球は紙でできていた。,○,
1,東北,3,芭蕉の「奥の細道」の旅は、江戸を出て江戸へ帰った。,×,
1,東北,4,お隣中国の子供たちも、日本と同じく、お正月にお年玉をもらう。,○,
1,東北,5,天気予報で大雨警報を出す時の雨量の基準は全国同じである。,×,
1,東北,6,電気ウナギは、自分の電気を使って障害物を探知することができる。,○,
1,東北,7,ニワトリの卵は、中でヒヨコが成長すると重くなる。,×,
1,東北,8,YMCAとYWCAの設立者は同じである。,×,
1,東北,9,海の深さは、潮が一番ひいた時に測ったものである。,○,
1,東北,10,超音速機コンコルドなどでおなじみの音速の単位マッハ、このマッハとは人の名前である。,○,
1,東北,11,踏み切りの遮断機の色は赤と白の紅白でもよい。,×,
1,東北,12,警察手帳の色は「チョコレート色」と定められている。,○,
1,九州,1,元日と大みそかが同じ曜日でないのは、うるう年だけである。,○,
1,九州,2,「窓の外をよくみてごらん、菅原道真公に丑の絵馬」さて問題。あの動物は菅原道真が生まれた年の干支にちなみ天満宮の象徴になった。,○,
1,九州,3,太宰府天満宮の本殿は、菅原道真のお墓の真上に建っている。,○,
1,九州,4,大宰府の電話帳によれば、菅原道真と同姓同名の人がいる。,×,
1,九州,5,キリンは、子供を産むとき、いちいちしゃがまないので、子供は文字通り”産み落とされる”。,○,
1,九州,6,日本人形の代表ともいわれる博多人形、実は外国人をモデルにした人形もある。,○,
1,九州,7,落語で前置きのことを枕というが、本題のことはふとんという。,×,
1,九州,8,屋久島にある屋久杉というのは樹齢1000年以上たった杉のことをいう。,○,
1,九州,9,ノーベル賞の創始者ノーベルは、第1回目の授賞式で、自らノーベル賞を手渡している。,×,
1,北海道,1,あのクラーク博士は、当時札幌の農学校に、”girl”つまり女生徒が1人もいなかったため”ボーイズビーアンビシャス”「少年よ大志を抱け」といった。,○,
1,北海道,2,北海道のシンボルマーク「道章」は雪の結晶をデザインしたものである。,×,
1,北海道,3,太陽系の惑星の中には、1年より、1日のほうが長い星がある。,○,
1,北海道,4,”落ちる”という万有引力の法則を発見したニュートンの家には、リンゴの木はなかった。,×,
1,北海道,5,「少年世大志を抱け」の名言を残したクラーク博士は、アメリカの南北戦争で戦った。,○,
1,九州敗復,1,九州と北海道では、北海道のほうが海岸線は長い。,×,
1,九州敗復,2,ラジオのスポーツ中継で最初に放送されたのは現在の高校野球。つまり当時の「全国中等学校野球大会」である。,○,
1,九州敗復,3,九州で真夏日の記録はあるが真冬日の記録はない。,×,
1,九州敗復,4,世界中の国旗の中には裏表、デザインの違うものがある。,○,
1,九州敗復,5,星の土地の所有権は最初にその星に到達した国にある。,×,
1,九州敗復,6,日本で「小説」という言葉を最初に使ったのは「小説神髄」を書いた坪内逍遥である。,○,
1,九州敗復,7,アルファベットという言葉は、アルファとベータのふたつから生まれた言葉である。,○,
1,九州敗復,8,万国博覧会は、必ず4年に1度開催される。,×,
1,九州敗復,9,日本で輸入が一番多いのは原油である。,○,
1,九州敗復,10,逆立ちしたままの状態では水を飲めない。,×,
1,九州敗復,11,マスクメロンの網目、実は、あれは、ひび割れである。,○,
1,九州敗復,12,夜空に輝く88の星座に動物の名はあるが、植物の名はない。,○,
1,九州敗復,13,中国では、おととしのことを「前年」つまり前の年と書く。,○,
1,九州敗復,14,月にウサギがいるという伝説は、日本独特のものである。,×,
1,九州敗復,15,日本で参議院議員に立候補できるのは満30歳だがアメリカ大統領に立候補できるのも同じ満30歳である。,×,
1,九州敗復,16,イギリスとフランスが戦った100年戦争。イギリス本土が戦場になったことはない。,○,
2,近畿北陸,1,大阪城の石垣で最大の石「蛸石」とエジプト、クフ王のピラミッドに使われている最大の石とでは、大阪城の蛸石の方が重い。,○,
2,近畿北陸,2,現在、高校在学中でレコード、デビューしているタレントの出身地は東日本より、西日本の方が多い。,×,
2,近畿北陸,3,芥川賞を、高校生は受賞することはできない。,×,
2,近畿北陸,4,松田聖子、中森明菜、小泉今日子、早見優、この4人のアイドル歌手の体重をたしてもハワイ出身の小錦関の体重にはかなわない。,○,
2,近畿北陸,5,大阪城の天守閣には、秀吉専用のベッドがあった。,○,
2,近畿北陸,6,若い人に人気のマリンスポーツ、サーフィンのサーフとは、寄せる波のことである。,○,
2,九州,1,北の北海道と南の九州。夏の間、日の出から日の入りまで、太陽の出ている時間が長いのは九州の方である。,×,
2,九州,2,西郷隆盛の小さい時の名前は小吉（こきち）ですが、お父さんの名前は大吉である。,×,
2,九州,3,日本の郵便ポストに最初に塗られた色は黒だった。,○,
2,九州,4,タイヤを発明したのは、ダンロップさんという人である。,○,
2,九州,5,気象衛星「ひまわり」は、夜、地球の写真を撮る時はフラッシュをたく。,×,
2,九州,6,１１７で親しまれている電話の時報サービスは、時の記念日にはじめられた。,○,
2,九州,7,横綱の土俵入り「太刀持ち」は「露払い」より番付が上でなくてはならない。,○,
2,九州,2回戦,九州と本州を結ぶ国鉄在来線の関門トンネル、上りと下りでは、上りのトンネルの方が長い。,×,
2,九州,2回戦,渡り鳥の中には、北極圏から南極圏へ飛ぶ渡り鳥もいる。,○,
2,九州,2回戦,アメリカ・スペースシャトル内で使う時刻はグリニッジ標準時である。,○,
2,九州,2回戦,ジャンボジェット機の免許証があれば、セスナ機も操縦することもできる。,×,
2,九州,2回戦,南極でも、ほかの国の基地へ行くにはパスポートが必要である。,×,
2,九州,2回戦,ベートーベンはメトロノームでリズムを取りながら第9を作曲した。,×,
2,九州,2回戦,台風は、台風の中心が陸に達してはじめて「上陸した」といわれる。,○,
2,九州,2回戦,プラグは英語ですが、コンセントは日本語である。,○,
2,九州,2回戦,児童福祉法では、女の子も18歳未満であれば少年である。,○,
2,中国,1,宮島の厳島神社のあの、大鳥居は国宝ではない。,○,
2,中国,2,宮島の干潟は、国土地理院の地図によると、大鳥居までを陸地としている。,×,
2,中国,3,船の汽笛が伝わる速さ、冬と夏とでは夏の方が速く伝わる。,○,
2,中国,4,リンゴにはニュートンという品種がある。,○,
2,中国,5,警察手帳には、持ち主の氏名、階級、写真などが載っているが、指紋も押されている。,○,
2,中国,6,ゲンジボタル、ヘイケボタルのように、ゲンジガニ、ヘイケガニというカニもいる。,×,
2,関東,1,世界のスーパースター、マイケル・ジャクソンのヒット曲を片面45分間ジャスト録音したカセットテープ、西武球場のホームベースから一直線に延ばすと、そのテープは、スコアボードの上を越える。,×,
2,関東,2,日本人の苗字で多いのは、鈴木、佐藤、田中の順と言われていますが、ここ西武球場に参加した高校生4万人の中で、一番多かった苗字もやはり「鈴木」である。,○,
2,関東,3,世界で学生の数が一番多い大学は日本の日本大学である。,×,
2,関東,4,オリンピックの陸上競技、靴をはいても、はだしでもかまわないが片方だけ靴をはいて競技するのは違反である。,×,
2,関東,5,小笠原諸島の聟島（むこじま）と嫁島のそばには二つの島を見守るようになこうど島がある。,○,
2,関東,6,福沢諭吉、彼の書いた「学問のすすめ」には、1万円札の先輩、聖徳太子のことも書いてある。,×,
2,関東,7,高校生に人気のサザンオールスターズとアルフィーのメンバー、平均年齢が上なのはアルフィーの方である。,○,
2,関東,8,クラゲはプランクトンの仲間である。,○,
2,関東,9,夏の風物詩「花火」は、英語で「フラワーファイヤー」という。,×,
2,関東,10,コペンハーゲンの人形姫。上は人間、下は魚の人魚ですが、この人魚姫の銅像には、「おへそ」がある。,○,
2,関東,11,懐中電灯の乾電池、同じ条件で使った場合、真夏日と真冬日では真夏日の方が長持ちする。,○,
2,関東,12,国鉄には、同じ駅から同じ時間に出発し、同じ目的地へ向かう列車もある。,○,
2,関東,13,計りの上のコップの水、指を入れても重さは変わらない。,×,
2,関東,14,俗に、「烏合の衆」といいますが、カラスの群にはちゃんとリーダーがいる。,×,
2,関東,15,マンモスタンカーより大きなタンカーをモンスタータンカーと呼ぶ。,×,
2,関東,16,「私はのろまなカメです」で、一躍流行語にもなったカメ。雄と雌はしっぽで見分ける。,○,
2,東北,1,日本には、文化庁の定めた「夏祭りの日」という記念日がある。,×,
2,東北,2,日本で一番たくさんとれるお米の銘柄はササニシキである。,×,
2,東北,3,金魚は水道が高くなるほど水中の酸素を多く吸収する。,○,
2,東北,4,気象用語で気圧の谷の反対を気圧の峰という。,○,
2,東北,5,郵便番号は現在「001」から「999」までのすべての番号が使われている。,×,
2,東北,6,渡り鳥が渡りの時期を知るのは、気温によってである。,×,
2,東北,7,月食が左から欠けるように日食も左から欠ける。,×,
2,東北,8,ウォルト・ディズニーが一番最初に創り出したキャラクターは、世界的アイドル「ミッキーマウス」である。,×,
2,北海道,1,美しく雄大な自然を持つ北海道の面積と、あのアルプスを頂くスイスの国の面積を比較すると、スイスの方が広い。,×,
2,北海道,2,牛乳の栄養素ビタミンＡは、夏より冬の方が多い。,×,
2,北海道,3,日本の畑で最も多くとれる野菜はジャガイモである。,○,
2,北海道,4,大学の医学部を卒業していなければ絶対に医者になることはできない。,○,
2,北海道,5,磁石を熱すると磁力は強くなる。,×,
2,北海道,6,細川たかしの民謡のお師匠さんは三波春夫である。,×,
2,四国,1,アメリカに行くには、もちろんパスポートが必要ですが、このパスポートを日本で一番はじめに取った人は、あの、伊藤博文である。,×,
2,四国,2,豪華客船クイーン・エリザベス2世号の救命ボートには万が一遭難しても飢えないように魚を釣るための釣り道具が備えつけられている。,○,
2,四国,3,スズメの親鳥は自分の産んだ卵を見分ける時、臭いで判断する。,×,
2,四国,4,固体から気体になるドライアイス。つくるときは気体を集めて固体にする。,×,
2,四国,5,日本とアメリカがはじめて結んだ日米和親条約の原文は、日本語では書かれていない。,×,
2,四国,6,0歳の赤ちゃんでも銭湯に行くとおふろ代を取られる。,○,
2,四国,7,エビの中には、大正エビの他、明治エビ、昭和エビというのも、ちゃんといる。,×,
2,四国,8,オジサンという魚はいるがオバサンという魚もいる。,×,
2,四国,9,日本で最初に発行されたハガキは文章を盗み読みされないように２つ折りになっていた。,○,
2,四国,10,映画のアカデミー賞をもらうためには、映画の都、ハリウッドのあるロサンゼルスで公開されなければならない。,○,
2,四国,11,ミツ蜂のオスはすべて働きバチである。,×,
2,中部,1,日本の高校5137校のうち、学校名に赤、青、白など色の字が入った高校は数多くありますが、その中で最も多く使われている色は「白」である。,○,
2,中部,2,琵琶湖と佐渡島。面積が広いのは琵琶湖の方である。,×,
2,中部,3,ここ尾張、三河で生まれた織田信長、豊臣秀吉、徳川家康のうち、名古屋城の城主になった者は一人もいない。,○,
2,中部,4,ロンドン名物、あのビッグベンはベンさんが作った。,○,
2,中部,5,オーストラリア大陸と日本、両方の海岸線の長さを比べると、オーストラリアの海岸線の方が長い。,○,
2,中部,6,南極のペンギンは泳ぐ時、後ろ足で「バタ足」をしている。,×,
2,中部,7,「アクロバット」という言葉は、コウモリがクロスして飛ぶさまから生まれた言葉である。,×,
2,中部,8,海ガメと同じようにカニも砂の中に卵を生む。,×,
2,中部,9,スペインではオレンジのことを、たくさんなっても「ナランハ」という。,○,
2,中部,10,私たちがよく食べている木の実、アーモンドは種である。,○,
2,中部,11,日本には村のない都道府県はない。,×,
2,中部,12,料理に使われるシュンギクには花が咲かない。,×,
2,中部,13,警察電話の110番は1月10日から開始されたので、110番になった。,×,
3,九州,1,九州が生んだ郷土の二大ヒーロー、福沢諭吉と西郷隆盛。福沢諭吉は新札の肖像となりましたが、西郷どんも大正時代お札の肖像になっている。,×,
3,九州,2,さて、その西郷隆盛と福沢諭吉は「丑年」に生まれ、「丑年」に亡くなっている。,×,
3,九州,3,何でもいいなりになる人を英語でイエスマンという。,○,
3,九州,4,芥川賞を兄弟で受賞したものはいるが、親子はいない。,○,
3,九州,5,プロのテニスプレーヤーで、今まで最も多くの賞金を獲得したのは、ジョン・マッケンローである。,×,
3,九州,6,海抜8000ｍの高い山はすべてアジア大陸にある。,○,
3,九州,7,水分を抜いて乾燥させた「こんにゃく」も再び水に入れるともとどおりになる。,×,
3,九州,8,空に見える星座には、神話がつきものですが、ギリシャ神話では大熊座は小熊座のお父さんである。,×,
3,九州,9,世界には四角形以外に、三角形、八角形の切手はあるが、丸い切手も作られている。,○,
3,九州,10,マンホールとは、人が出入りする穴という意味である。,○,
3,九州,11,地球は、北極の真上からみると時計の針と同じように右まわりで回っている。,×,
3,九州,12,共和国や連邦とつく国は世界中にたくさんありますが、合衆国と呼ばれるのはアメリカだけである。,×,
3,九州,13,ナイルワニ、ミシシッピーワニがいるように、中国の揚子江には、揚子江ワニというワニがいる。,○,
3,九州,14,お正月にやる「小倉百人一首」の中に、清少納言の和歌はあるが紫式部のものはない。,×,
3,九州,15,現在、世界に女性の首相はいても女性の大統領はいない。,×,
3,九州,16,地球上で最大の哺乳類、シロナガスクジラも盲腸炎になる。,○,
3,九州,17,日本の警察犬には日本犬は使用されない。,○,
3,近畿,1,天下統一を果たした秀吉、その秀吉の建てた大阪の天守閣の高さと、万博のシンボル「太陽の塔」との高さでは大阪城の天守閣の方が高い。,×,
3,近畿,2,豊臣秀吉は、みんなが目指す東京、つまり、江戸へ行ったことがある。,○,
3,近畿,3,国土の広いアメリカやソビエトにはいくつもの標準時がありますが、中国には標準時がひとつしかない。,○,
3,近畿,4,ディズニー映画の主人公で空とぶゾウのダンボ、母親の名はジャンボである。,○,
3,近畿,5,地震の震度を決める担当者は全国どこでも建物の一階で待機している。,×,
3,近畿,6,カニはよく泡を吹くが、天敵出会って驚いたりすると、水中でも泡を吹く。,×,
3,近畿,7,42.195kmを走るマラソンのスタートの合図は、全員そろうと短距離走と同じように「用意」というかけ声をかける。,×,
3,近畿,8,赤いリンゴと青いリンゴを密封した箱に一緒に入れておくと、青いリンゴも赤くなる。,×,
3,近畿,9,ジグソーパズルのジグソーの意味は糸のこぎりのことである。,○,
3,近畿,10,クジラの中にはニタリクジラというものがいますが、このクジラは笑ったような顔をしているところからその名がつけられた。,×,
3,近畿,11,匂いを嗅ぐ時、鼻の一方をふさいで嗅いでも、2つの穴で嗅いでも、能力は同じである。,×,
3,近畿,12,現在「大阪」の「大」は「大きい」と書くが、その昔「小さい」という字で「おおさか」と呼ばれたことがある。,○,
3,近畿,13,日本には天皇誕生日という祝日があるが、アメリカにも初代大統領ワシントンの誕生日という祝日がある。,○,
3,近畿,14,波の荒い磯にすむサザエほど、転がらないようにそのトゲは長い。,○,
3,北陸,1,ここ北陸ブロックのヒーローに、新潟県出身、あの16文キックのジャイアント馬場がいます。今、君達の前にある足型は16文を何倍かにしたものですが、もしこの足型と同じ倍率のジャイアント馬場がいるとすれば、その背の丈は黒部第四ダムの高さをこえる。,○,
3,北陸,2,家庭に来ている電気はすべて交流ですが、ここ黒部第四ダムの発電所でおこす電気は直流である。,×,
3,北陸,3,冬になるとわが国にもたくさんの渡り鳥がやってきますが、いくら飛んでも国境を越えなければ渡り鳥とは呼ばない。,×,
3,北陸,4,42.195kmを走るマラソンのスタートの合図は、全員そろうと短距離走と同じように「用意」というかけ声をかける。,×,
3,北陸,5,日本には天皇誕生日という祝日があるが、アメリカにも初代大統領、ワシントンの誕生日という祝日がある。,○,
3,北陸,6,モールス信号を発明したモールスは船員だった。,×,
3,北陸,7,匂いを嗅ぐ時、鼻の一方をふさいで嗅いでも、2つの穴で嗅いでも、能力は同じである。,×,
3,東北,1,雨にもまけず、風にもまけず、苦難を避けず直進せよ。われらの前途は迷える世界、ああ全くたれが賢く、たれが賢くないかはわかりません。全国にある宮沢賢治の石碑27ケ所に使われている碑文の中から文節を選び出し並べかえると上の文章が出来る。,×,
3,東北,2,景色のいい所を名勝といいますが、名勝の指定は景色が悪くなると名勝と呼ばなくなる。,○,
3,東北,3,新しいお札や切手を印刷している大蔵省印刷局は、年明けにあるもう一つの難関、共通一次試験の問題も印刷している。,○,
3,東北,4,水道の水と蒸留水、電気をよく伝えるのは蒸留水の方である。,×,
3,東北,5,ガラスの靴でおなじみの「シンデレラ」、そのシンデレラとは「午前０時の人」という意味である。,×,
3,東北,6,あらゆる国語辞典で、一番項目数が多いのは、カ行である。,○,
3,中国,1,昭和59年プロ野球日本一に輝いた広島東洋カープの古葉監督は球団のシンボルである鯉を自宅の池に飼っている。,×,
3,中国,2,日本の文化勲章は日本人だけしか贈られない。,×,
3,中国,3,ネコの中には天然記念物に指定されているものがいるが、犬で天然記念物の指定を受けているものはない。,×,
3,中国,4,柔道に一本背負いがあるように相撲にも一本背負いという技がある。,○,
3,中国,5,長い面を馬面というが、短い面は猫面という。,○,
3,中国,6,算用数字、俗にアラビア数字と呼ばれる数字はもともと、アラビア人が考え出したものである。,×,
3,中国,7,あの大作曲家のシューベルトは、天使の歌声で知られるウィーン合唱団に所属していた。,○,
3,中国,8,日本で冬に見える星座に「うさぎ座」と「カメ座」がある。,×,
3,中国,9,指紋に対して、足の裏についている模様を足の紋、つまり足紋という。,○,
3,中国,10,エビが脱皮するように、カニも脱皮する。,○,
3,中国,11,緊急の時に回すダイヤル110番と119番。先に統一されたのは110番の方である。,×,
3,四国,1,あの瀬戸大橋を吊る一番太いケーブルの円周と、四国が生んだ相撲界の人気者、朝潮太郎の胴回りでは、朝潮の胴まわりのほうが大きい。,×,
3,四国,2,ノーベル文学賞を受賞した、作家の川端康成は芥川賞も直木賞も、もらっていない。,○,
3,四国,3,ひと回り小さくなった新１万円札10000枚と１円玉1000枚では、１円玉1000枚の方が重い。,×,
3,四国,4,日本に初めて輸入された「熱帯魚」はエンゼル・フィッシュであった。,×,
3,四国,5,星座には「白鳥座」はあるが、「カラス座」はない。,×,
3,四国,6,プロ野球の試合に審判が遅れた場合、選手が審判になることができる。,○,
3,四国,7,皆さんがよく使う図書券を世界で最初に発行したのは、数々のロングセラーを書いたシェークスピアのふるさとイギリスである。,○,
3,四国,8,漢字で海の馬と書くタツノオトシゴは英語ではシーホースと言いますが、海の星と書くヒトデはシースターという。,×,
3,四国,9,赤川次郎原作の映画でヒロインとなった薬師丸ひろ子、原田知世、渡辺典子の血液型は3人共同じである。,○,
3,四国,10,幼稚園は義務教育でないので、授業日数は決められていない。,×,
3,四国,11,デコレーションケーキは和製英語ですが、バースデーケーキも和製英語である。,×,
3,四国,12,日本とアメリカを結ぶ国際電話は海底ケーブルより通信衛星を多く使っている。,○,
3,四国,13,みかんの汁で字や絵を書き、火であぶる「あぶり出し」。同じ事をリンゴの汁でやると紙には何もでてこない。,×,
3,四国,14,エレキテルの復元や寒暖計を発明した香川県生まれの天才科学者、平賀源内は小説も書いた。,○,
3,四国,15,走り幅跳びの公認記録を量る巻尺。日本では金属製と決められている。,○,
3,四国,16,毒ヘビの毒を出す歯は、すべて上あごにある。,○,
3,四国,17,トルストイの書いた「戦争と平和」は彼がロシアにせめ込んだナポレオン1世の軍隊と戦った体験をもとにして書かれた作品である。,×,
3,四国,18,ブルドッグの「ブル」はこの犬が歩くと顔の肉がブルブル動くことからその名がついた。,×,
3,四国,19,ディズニー映画の主人公で空とぶゾウのダンボ、母親の名はジャンボである。,○,
3,四国,20,”母の日”はアメリカで始まった行事ですが、”父の日”は、母の日にならって日本で始まった行事である。,×,
3,中部,1,昭和59年、名古屋に贈られてきたコアラの故郷、オーストラリアではほとんどのコインに動物が描かれていますが、その中には、コアラをデザインしたコインはない。,×,
3,中部,2,今、みんなが手にしている「風船」は、俳句でいうと「冬」の季語である。,×,
3,中部,3,光の三原色、赤、青、緑のうち同じ分量の赤と緑をまぜ合わせてできるのは黄色である。,○,
3,中部,4,子供の日と敬老の日、先に制定されたのは敬老の日である。,×,
3,中部,5,アメリカのレーガン大統領とソビエトのチェルネンコ書記長は同じ年の生まれである。,○,
3,中部,6,同じ車両数の新幹線ひかり号とこだま号。東京―新大阪間で電気代がかかるのはひかり号である。,×,
3,中部,7,英語でブラック・シー「黒海」という海はありますが、ホワイト・シー「白海」という海もある。,○,
3,中部,8,火事にあうと亀は甲羅を脱ぎすてて逃げる。,×,
3,中部,9,今では、子供のおもちゃになっているケン玉。もともとはヌンチャクと同じような武器だった。,×,
3,中部,10,木の上で生活するコアラ、実は泳げない。,×,
3,中部,11,人間の心臓が動いている時、心臓には「電流」が流れている。,○,
3,中部,12,日本のプロ野球史上、年間50本のホームランを打ったのは王選手だけである。,×,
3,中部,13,共同募金の赤い羽根はアメリカ・インディアンが勇者の証として頭につけたことに由来する。,○,
3,中部,14,ドイツで始まったユースホステル。現在その数が一番多いのはアメリカである。,×,
3,中部,15,大相撲で同時に2人が横綱になった時、先の代の横綱になれるのは年上の人である。,×,
3,中部,16,野球選手の背番号、高校野球の全国大会では1番から15番までと決められてますが、プロ野球には数字の制限はない。,○,
3,中部,17,今では修学旅行などで歌われる歌に「高校三年生」がありますが、この歌を歌った舟木一夫がデビューした時、本当に高校3年生だった。,×,
3,中部,18,（欠　　以下関東・北海道まで欠　　問題確認しとく）,×,
